TrackId,Name,AlbumId,MediaTypeId,GenreId,Composer,Milliseconds,Bytes,UnitPrice
0,"Amber Goat Turn",523,1,22,"Maryjo Scott",941,2,312
1,"Auburn Apple Round",12,3,23,"Marvin Lopez",952,590,439
2,"Red Bridge Twist",900,3,73,"Melissa Hanley",225,93,116
3,"Thunder Nest Bluff",308,0,72,"Willie Dudley",685,314,144
4,"Colonial Harbor Falls",215,0,47,"Karen Fifield",880,795,303
5,"Auburn Butterfly Street",374,4,80,"Kevin Kaufman",760,360,456
6,"Auburn Autumn Ramble",16,1,31,"Shelly Maze",567,879,390
7,"Pleasant Castle Path",12,8,12,"Jonathon Cordova",486,84,423
8,"Sweet Embers Pace",30,1,13,"Frances Allgood",849,7,108
9,"Sandy Fawn Rove",948,0,2,"Petrina Santiago",298,97,194
10,"Lone Cloud Acres",205,7,28,"Brian Cain",243,378,304
11,"Harvest Lamb Turn",564,0,26,"Sabrina Blank",263,263,321
12,"Round Butterfly Twist",272,7,9,"Jimmy Reaper",419,233,132
13,"Colonial Creek Round",59,0,17,"Heather Estrada",865,962,261
14,"Dusty Fox Bend",365,0,31,"Belinda Conroy",599,949,380
15,"Twin Fox Trail",454,6,0,"Indira Morse",50,420,445
16,"Crimson Diamond Glade",438,4,16,"Alyssa Carnell",57,1007,128
17,"Middle Anchor Farms",286,1,84,"Valerie Thompson",739,498,474
18,"Square Pond Vale",104,1,2,"Virginia Trevino",897,870,381
19,"Little Oak Landing",136,4,51,"Letty Corman",144,837,336
20,"Cool Mountain Lace",297,0,2,"Janeen Fortenberry",885,484,377
21,"Broad Prairie Highlands",291,1,68,"Tabitha Perez",695,459,370
22,"Turning Swan Dale",601,2,66,"Sylvia Hummel",732,439,457
23,"Happy Log Promenade",823,2,74,"Chelsea Neely",507,533,258
24,"Tawny Grove Race",979,4,1,"Walter Bell",595,996,154
25,"Misty Grove Canyon",711,5,63,"Kevin Oconnor",378,315,378
26,"Happy Castle Dale",10,9,59,"Marcus Ross",86,423,348
27,"Pied Shadow Orchard",337,1,78,"Brandon Rogers",341,617,216
28,"Pretty Horse Promenade",27,9,96,"Tyler Davidson",745,1009,100
29,"Tawny Beaver Stroll",28,0,3,"Kurtis Taylor",323,389,429
30,"Cinder Fox Shoal",21,5,34,"Christian Miles",277,20,152
31,"Silver Beacon Arbor",995,5,69,"Eden Ramey",192,781,243
32,"Rough Blossom Stead",368,2,23,"Thomas Remington",199,448,254
33,"Rustic Pumpkin Road",31,5,12,"Bruce Long",281,379,127
34,"Grand Acorn Heights",212,4,66,"Ida Ownby",337,260,414
35,"Lost Flower Vista",348,6,56,"Roger Duong",175,958,496
36,"Rough Cottage Villa",286,0,16,"Dolores Unger",236,677,349
37,"Sandy Beaver Corner",395,3,68,"Lauren Cerrone",73,817,274
38,"Long Oak Wander",6,0,2,"Mary Santillan",871,395,401
39,"Hush Beaver Alcove",81,2,22,"Robert Potter",325,334,324
40,"Dewy Pony Corner",247,8,69,"Anthony Lopez",695,360,298
41,"Sunny Castle Round",83,6,18,"April Crane",633,901,181
42,"Old Grove Knoll",2,0,39,"Gail Smith",551,906,490
43,"Umber View Glen",883,1,83,"Melvin Collins",415,851,178
44,"Bent Beaver Ridge",4,5,2,"Derrick Conner",454,792,411
45,"Merry Turtle Gardens",376,0,2,"Emilio Campbell",596,773,408
46,"Emerald Forest Glade",98,1,90,"Cathy Olivera",23,867,417
47,"Honey Willow Vale",48,8,98,"Gerard Sherman",778,222,474
48,"Emerald Wagon Pass",304,5,3,"Otis Cantor",127,702,343
49,"Gentle Robin Grove",585,8,17,"Mayme Heard",314,397,393
50,"Pied Maple Summit",856,2,14,"Eileen Busch",753,816,152
51,"Stony Gate Vista",474,1,93,"Douglas Christian",773,744,200
52,"Square Forest Glen",255,1,43,"Vanessa Caver",466,158,117
53,"Dewy Hills Field",299,6,2,"Bobby Abernathy",451,461,466
54,"Jagged Swan Ridge",471,9,76,"Alfonzo Cochran",619,551,451
55,"Dusty Butterfly Twist",198,1,19,"Clarence Petry",271,726,314
56,"Twin Shadow Farms",401,7,67,"Jonathon Lutz",439,580,480
57,"Small Peach Gardens",653,9,89,"Joan Weaver",612,665,328
58,"Twin Nut View",109,0,86,"Alfonso Rodriguez",538,188,296
59,"Jagged Snake Twist",250,2,23,"Lori Rowan",172,529,307
60,"Old Mountain Pace",363,5,60,"Michael Hamby",492,280,123
61,"Harvest Rock Field",573,6,19,"Ida Garcia",152,328,467
62,"Thunder Rabbit Saunter",399,5,39,"Thomas Mansour",928,431,228
63,"Cool Cottage Park",508,1,51,"Antoine Silverstein",293,610,120
64,"Square Autumn Lane",41,0,1,"Steven Ingram",95,702,197
65,"Cotton Cloud Lace",425,9,20,"Roosevelt Smith",58,651,269
66,"Iron Harbor Shoal",48,4,25,"Francis Salmon",558,615,301
67,"Orange Wagon Heights",382,6,46,"Joseph Gould",884,918,456
68,"Lazy Panda Highlands",961,3,78,"James Vaughan",440,336,348
69,"Orange Pine Canyon",788,0,63,"Stephen Heredia",447,849,210
70,"Sandy Butternut Terrace",84,2,45,"Catharine Stanley",140,610,399
71,"Cold Diamond Glen",11,1,20,"Arthur Roberts",400,769,392
72,"Colonial Lake Drive",150,2,21,"Derick Swindler",995,54,272
73,"Square Anchor Trace",55,0,6,"John Solomon",175,392,477
74,"Lone Hills Niche",323,1,53,"Robert Broussard",114,157,257
75,"Hidden Pond Ridge",895,5,10,"Tyrone Kirkley",987,363,412
76,"Rustic Peach Knoll",916,2,98,"Gloria Burleson",87,654,127
77,"Dewy Rabbit Alcove",367,0,26,"Michael Hickson",971,853,330
78,"Broad Forest Cut",200,1,45,"Robert Swallow",329,346,307
79,"Turning Barn Lace",62,1,5,"Bette Parks",561,846,338
80,"Thunder Mill Grove",379,9,30,"David Lake",835,798,323
81,"Pied Oak Crest",218,0,32,"Mike Wise",81,512,221
82,"Cotton Holly Cut",65,4,0,"Bruce Mccoy",126,758,406
83,"Calm Chestnut Dell",3,5,27,"Corey Hoffman",870,484,231
84,"Noble Stone Isle",32,4,0,"Edward Vogel",696,506,171
85,"Cool Hills Field",436,9,15,"Mamie Kuntz",374,864,217
86,"Ivory Acorn Niche",298,7,2,"Catherine Brown",834,824,259
87,"Round Holly Manor",457,9,78,"David Phillips",736,613,163
88,"Rose Panda Niche",375,5,41,"Irene Martinez",681,102,249
